备货单号,第三方单号,运输方式,发货仓,中转仓,收货仓,备货单状态,sku,第三方sku,品类,箱号,装箱数量,分配的收货数量,成本价,创建人,销售部门,发货时间,整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ009277_W_XL,468422073925,服装/服饰配件->男装->男式->T恤->polo衫,9169741,4,4,29.487,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ009277_NB_XL,462400416766,服装/服饰配件->男装->男式->T恤->polo衫,9169741,4,4,26.341,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ009277_NB_XXL,469321049356,服装/服饰配件->男装->男式->T恤->polo衫,9169741,2,2,26.341,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ009277_NB_L,468110977924,服装/服饰配件->男装->男式->T恤->polo衫,9169741,4,4,26.341,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_NB_M,463575945518,服装/服饰配件->男装->男式->西装->西装马甲,9169741,1,,34.239,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_XL,TEV001108_RR_XL,服装/服饰配件->女装->女式->外套,9634037,18,18,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_XL,TEV001108_RR_XL,服装/服饰配件->女装->女式->外套,9634078,2,2,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_XL,TEV001108_B_XL,服装/服饰配件->女装->女式->外套,9634078,15,15,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_XL,TEV001108_B_XL,服装/服饰配件->女装->女式->外套,9634102,5,5,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_XL,TEV001108_W_XL,服装/服饰配件->女装->女式->外套,9634102,13,13,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_W_XL,TEV001108_W_XL,服装/服饰配件->女装->女式->外套,9634163,7,7,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_XXL,TEV001108_RR_XXL,服装/服饰配件->女装->女式->外套,9634163,12,12,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_RR_XXL,TEV001108_RR_XXL,服装/服饰配件->女装->女式->外套,9634217,8,8,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_XXL,TEV001108_B_XXL,服装/服饰配件->女装->女式->外套,9634217,10,10,39,田青玉,,"2024-08-20 17:59:31",整箱到货
TP0051593,RVG13218-240819-0037,快递,东莞仓,,GC美东5仓,完结订单,TEV001108_B_XXL,TEV001108_B_XXL,服装/服饰配件->女装->女式->外套,9634328,10,,39,田青玉,,"2024-08-20 17:59:31",整箱未上架
